chapter	chaptertitle	chapterabbr	v	f	c	s1	s2	s3	semcat	old_chapter	old_subchapter					Old semcat (#2)	Old V.F (#2)	Old chptr (#2)	Note
1.0	The Body		1	0	0	0	0	0	Nbp	1a						Vbp	1b		
1.1	Body Parts		1	1	0	0	0	0	Nbp	1a	1								
1.1.1	Body		1	1	1	0	0	0	Nbp	1a	1.1					Vbp	1b	1.1	
1.1.1.1	Flesh/Meat		1	1	1	1	0	0	Nbp	1a	1.1.1								
1.1.1.2	Lean (Meat)		1	1	1	2	0	0	Nbp	1a	1.1.2								No lexicon records
1.1.2	Life/Breathe/Exist		1	1	2	0	0	0	Nbp	1a	1.2								
1.1.2.1	Life/Live/Alive		1	1	2	1	0	0	Nbp	1a	1.2.1					Vbp	1b	1.2.1	
1.1.2.2	Breath/Breathe		1	1	2	2	0	0	Nbp	1a	1.2.2					Vbp	1b	1.2.2	
1.1.2.3	Existence		1	1	2	3	0	0	Nbp	1a	1.2.3								
1.1.2.4	Be able		1	1	2	4	0	0	Vbp	1b	1.2.3								
1.1.3	Hungry		1	1	3	0	0	0	Nbp	1a	1.3					Vbp	1b	1.3	
1.1.3.1	Thirsty		1	1	3	1	0	0	Nbp	1a	1.3.1					Vbp	1b	1.3.1	
1.1.3.2	Satiated/Full/Enough		1	1	3	2	0	0	Nbp	1a	1.3.2					Vbp	1b	1.3.2	
1.1.4	Wake/Conscious/Alert		1	1	4	0	0	0	Vbp	1b	1.4					Nbp	1a	1.4	
1.1.4.1	Sleep/Be asleep		1	1	4	1	0	0	Nbp	1a	1.4.1					Vbp	1b	1.4.1	
1.1.4.2	Dream		1	1	4	2	0	0	Nbp	1a	1.4.2								
1.1.5	Strength		1	1	5	0	0	0	Nbp	1a	1.5					Vbp	1b	1.5	
1.1.5.1	Sick/Hurt/Ache		1	1	5	1	0	0	Nbp	1a	1.5.1					Vbp	1b	1.5.1	
1.1.5.2	Swollen/Swell/Bloated		1	1	5	2	0	0	Nbp	1a	1.5.2					Vbp	1b	1.5.2	
1.1.6	Die/Deathly		1	1	6	0	0	0	Nbp	1a	1.6					Vbp	1b	1.6	
1.1.6.1	Carcass/Dead Body		1	1	6	1	0	0	Nbp	1a	1.6.1								
1.2	Head and Face		1	2	0	0	0	0	Nbp	1a	2								
1.2.1	Head/Headed		1	2	1	0	0	0	Nbp	1a	2.1					Vbp	1b	2.1	
1.2.1.1	Skull		1	2	1	1	0	0	Nbp	1a	2.1.1								
